GAMEPLAY_Flare,Flare,,
,,,
GAMEPLAY_FlareLighting,Lighting...,,
GAMEPLAY_Flee,Flee,,
GAMEPLAY_FleeceSweater,Fleece Sweater,,Áo len lông cừu
GAMEPLAY_FleeceSweaterDescription,"Synthetic micro-fleece mid-layer. Light, but not particularly windproof.",,
GAMEPLAY_FlintSteel,Flint & Steel,,
GAMEPLAY_FlintSteelDescription,Flint and steel striker to create hot sparks and ignite tinder.,,
GAMEPLAY_Foggy,Foggy,,
GAMEPLAY_Food,Food,,Thức ăn
GAMEPLAY_Fooditemhasnocalories,Food item has no calories,,Thức ăn không có Calo
GAMEPLAY_FoodPoisoning,Food Poisoning,,
GAMEPLAY_FoodPoisoningDescription,"Something you ate has made you very sick. You will weaken until you treat it, it passes, or you die.",,
GAMEPLAY_FoodPoisoningHasPassed,Food Poisoning Has Passed,,
GAMEPLAY_Forage,Forage,,
GAMEPLAY_ForagingProgress,Foraging...,,
GAMEPLAY_ForagingWillCost,Foraging will cost,followed by time and calories that will be spent,
GAMEPLAY_Forcing,Forcing...,,
GAMEPLAY_ForestryLookout,Forestry Lookout,,
GAMEPLAY_Forward,Forward,,
GAMEPLAY_FOV,FOV,,
GAMEPLAY_Freezer,Freezer,,
GAMEPLAY_Freezing,Freezing,,
GAMEPLAY_Fridge,Fridge,,
GAMEPLAY_FrontDoor,Front Door,,
GAMEPLAY_FrozenCorpse,Frozen Corpse,,
GAMEPLAY_FrozenCreek,Frozen Creek,,
GAMEPLAY_FrozenPercentPostfix,({%-value}% Frozen),,
GAMEPLAY_FrozenPostfix,(Frozen),,
GAMEPLAY_Fuel,Fuel,,
GAMEPLAY_FuelChest,Fuel Chest,,
GAMEPLAY_FuelCover,Fuel Cover,,
GAMEPLAY_FuelRemainingPostfix,({%-value}% Fuel),,
GAMEPLAY_FullScreen,Full Screen,,
GAMEPLAY_galUnits,gal,,
GAMEPLAY_Gasoline,Gasoline,,
GAMEPLAY_German,Deutsch,Do not translate,
GAMEPLAY_GloveBox,Glove Box,,
GAMEPLAY_GranolaBar,Granola Bar,,
GAMEPLAY_GranolaBarDescription,Dry and crunchy.,,
GAMEPLAY_GrapeSoda,Stacy's Grape Soda,,
GAMEPLAY_GrapeSodaDescription,Sweet carbonated drink. Full of high-fructose corn syrup.,,
GAMEPLAY_Grate,Grate,,
GAMEPLAY_GreenTeaCup,Cup of Herbal Tea,,
GAMEPLAY_GreenTeaCupDescription,A cup of tea.,,
GAMEPLAY_GreenTeaCups,Cups of Herbal Tea,,
GAMEPLAY_GreenTeaPackage,Herbal Tea,,
GAMEPLAY_GreenTeaPackageDescription,A package of fragrant tea. The label promises restorative benefits and more peaceful rest.,,
GAMEPLAY_Gut,Fresh Gut,,
GAMEPLAY_GutDescription,Freshly harvested gut.,,
GAMEPLAY_Hardwood,Hardwood,,
GAMEPLAY_HareCarcass,Rabbit Carcass,,
GAMEPLAY_Harvest,Harvest,recycle,Thu hoạch
GAMEPLAY_HarvestAll,Harvest All,,Thu hoạch tất cả
GAMEPLAY_HarvestAltCarcass,Harvest,harvesting animal carcass,
GAMEPLAY_HarvestCarcass,Harvest Carcass,,
GAMEPLAY_HarvestFrozenCarcass,Harvest Frozen Carcass,,
GAMEPLAY_HarvestGut,Harvest Gut,,
GAMEPLAY_HarvestHide,Harvest Hide,,
GAMEPLAY_Harvesting,Harvesting,,
GAMEPLAY_HarvestingFraction,Harvesting ({curr-value}/{total-value})...,,
GAMEPLAY_HarvestingGut,Harvesting Gut...,,
GAMEPLAY_HarvestingHide,Harvesting Hide...,,
GAMEPLAY_HarvestingMeat,Harvesting Meat...,,
GAMEPLAY_HarvestingProgress,Harvesting...,,
GAMEPLAY_HarvestMeat,Harvest Meat,,
GAMEPLAY_Hatch,Hatch,,
GAMEPLAY_Hatchet,Hatchet,,
GAMEPLAY_HatchetDescription,A small one-handed axe. Good for splitting wood. Can be used to hack meat in a pinch.,,
GAMEPLAY_Healthy,Healthy,,
GAMEPLAY_HeatedItem,{item-name} warmed up,,
GAMEPLAY_HeatUp,Heat up,to heat food,
GAMEPLAY_HeavySnow,Heavy Snow,,
GAMEPLAY_HeavyWoolSweater,Heavy Wool Sweater,,Áo len dày
GAMEPLAY_HeavyWoolSweaterDescription,"Thick wool sweater, cable-knit. Keeps the core warm, even when wet.",,
GAMEPLAY_Help,Help,,Trợ giúp
GAMEPLAY_High,High,,
GAMEPLAY_HighResScreenshot,High Resolution Screenshot (HUD Disabled),,
GAMEPLAY_HoldToRun,Hold To Run,,
GAMEPLAY_Holster,Holster,,
GAMEPLAY_Hood,Hood,,
GAMEPLAY_Hook,Hook,,
GAMEPLAY_HookDescription,A basic hook suitable for fishing.,,
GAMEPLAY_Hooks,Hooks,,
GAMEPLAY_Hot,Hot,,
GAMEPLAY_HotPostfix,(Hot),,
GAMEPLAY_hour,hour,,giờ
GAMEPLAY_hours,hours,,giờ
GAMEPLAY_HoursOfDarkness,About {hours-value} hours of darkness left,,
GAMEPLAY_HoursOfDaylight,About {hours-value} hours of daylight left,,
GAMEPLAY_HoursRemaining,Hours Remaining,,Giờ còn lại
GAMEPLAY_hoursShortForm,h,,
GAMEPLAY_HoursToFish,Hours To Fish,,
GAMEPLAY_HoursToRest,Hours To Rest,,
GAMEPLAY_HUD,HUD,,HUD
GAMEPLAY_Hunger,Hunger,,
GAMEPLAY_Hungry,Hungry,,
GAMEPLAY_HuntingKnife,Hunting Knife,,
GAMEPLAY_HuntingKnifeDescription,Good quality knife with a stainless steel blade and wooden handle.,,
GAMEPLAY_HuntingRifle,Hunting Rifle,,
GAMEPLAY_HuntingRifleDescription,An old .303 calibre bolt-action hunting rifle. Will bring a deer down. Maybe a wolf.,,
GAMEPLAY_IceFishing,Ice Fishing,,
GAMEPLAY_IceFishingHole,Ice Fishing Hole,,
GAMEPLAY_IceFishingHoleCleared,Ice Fishing Hole (Cleared),,
GAMEPLAY_IceFishingHuts,Ice Fishing Huts,,
GAMEPLAY_Imperial,Imperial,,
GAMEPLAY_Increase,Increase,,
GAMEPLAY_Infection,Infection,,
GAMEPLAY_InfectionCleared,Infection Cleared,,
GAMEPLAY_InfectionDescription,You have an infection that could kill you if left untreated.,,
GAMEPLAY_InfectionRisk,Infection Risk,,
GAMEPLAY_InfectionRiskDescription,You sustained a wound that could result in infection if left untreated.,,
GAMEPLAY_InfectionRiskHUD,At risk for infected wound,,
GAMEPLAY_InfectionRiskLog,At risk for infected wound.,,
GAMEPLAY_InProgressPostfix,(In Progress),,
GAMEPLAY_InsufficentFireStarter,Insufficient materials to start a fire (need Fire Starter),,
GAMEPLAY_InsufficentFireStarterFuel,Insufficient materials to start a fire (need Fire Starter and Fuel),,
GAMEPLAY_InsufficentFireStarterTinder,Insufficient materials to start a fire (need Fire Starter and Tinder),,
GAMEPLAY_InsufficentFireStarterTinderFuel,"Insufficient materials to start a fire (need Fire Starter, Tinder and Fuel)",,
GAMEPLAY_InsufficentFuel,Insufficient materials to start a fire (need Fuel),,
GAMEPLAY_InsufficentTinder,Insufficient materials to start a fire (need Tinder),,
GAMEPLAY_InsufficentTinderFuel,Insufficient materials to start a fire (need Tinder and Fuel),,
GAMEPLAY_Insufficientmaterialsforcrafting,Insufficient materials for crafting,,
GAMEPLAY_Insufficientmaterialsforrepair,Insufficient materials for repair,,
GAMEPLAY_Insufficientmaterialstocreatefire,Insufficient materials to create fire,,
GAMEPLAY_InsulatedBoots,Insulated Boots,,
GAMEPLAY_InsulatedBootsDescription,Insulated boots. Waterproof outer. Felt liner. Designed for cold weather.,,
GAMEPLAY_InsulatedVest,Insulated Vest,,
GAMEPLAY_InsulatedVestDescription,Synthetic top-layer that warms the core but leaves the arms exposed.,,
GAMEPLAY_InteractShoot,Interact / Shoot,,
GAMEPLAY_Invalidlocationtoplaceobject,Invalid location to place object,,
GAMEPLAY_Inventory,Inventory,,
GAMEPLAY_InvertX,Invert X,,
GAMEPLAY_InvertY,Invert Y,,
GAMEPLAY_ItemAddedToInventory,{item-name} added to inventory,,
GAMEPLAY_ItemCondition,Condition,,
GAMEPLAY_Itemisalreadyfullyrepaired,Item is already fully repaired,,
GAMEPLAY_ItemsNeeded,Items Needed,,
GAMEPLAY_ItemToCraft,Item To Craft:,,
GAMEPLAY_ItemToHarvest,Item To Harvest,,
GAMEPLAY_ItemToRepair,Item To Repair:,,
GAMEPLAY_Itstoowindytostartafirethere,It's too windy to start a fire there,,
GAMEPLAY_JackrabbitIsland,Jackrabbit Island,,
GAMEPLAY_Jeans,Jeans,,
GAMEPLAY_JeansDescription,Basic denim jeans. Not much good for anything out here.,,
GAMEPLAY_JerryCan,Jerry Can,,Thùng đựng xăng
GAMEPLAY_JerryCanDescription,An old metal jerry can containing fuel for oil lamps.,,
GAMEPLAY_Kerosene,Lamp Oil,,
GAMEPLAY_KeyBindings,Key Bindings,,
GAMEPLAY_kgUnits,kg,,
GAMEPLAY_KilledABear,Killed a Bear,,
GAMEPLAY_KilledARabbit,Killed a Rabbit,,
GAMEPLAY_KilledAStag,Killed a Stag,,
GAMEPLAY_KilledAWolf,Killed a Wolf,,
GAMEPLAY_kmhUnits,km/h,,
GAMEPLAY_kmUnits,km,,
GAMEPLAY_Ladder,Ladder,,
GAMEPLAY_LakeCabins,Lake Cabins,,
GAMEPLAY_LakeTrail,Lake Trail,,
GAMEPLAY_Lampalreadyfull,Lamp already full,,
GAMEPLAY_Language,Language,,
GAMEPLAY_LanternFuel,Lantern Fuel,,
GAMEPLAY_LanternFuelDescription,Small bottle of lamp oil.,,
GAMEPLAY_LanternLighting,Lighting...,,
GAMEPLAY_lbsUnits,lbs,,
GAMEPLAY_Leather,Fresh Leather,,
GAMEPLAY_LeatherDescription,Freshly harvested leather.,,
GAMEPLAY_Left,Left,,
GAMEPLAY_LessThanOneHourDarkness,Less than one hour of darkness left,,
GAMEPLAY_LessThanOneHourDaylight,Less than one hour of daylight left,,
GAMEPLAY_lessthanoneminute,less than one minute,,
GAMEPLAY_Lid,Lid,,
GAMEPLAY_LightSnow,Light Snow,,
GAMEPLAY_LightTorch,Light Torch,,
GAMEPLAY_Line,Line,,
GAMEPLAY_LineDescription,A line suitable for fishing.,,
GAMEPLAY_Lines,Lines,,
GAMEPLAY_litreUnits,L,,L
GAMEPLAY_Load,Load,,Tải
GAMEPLAY_LoadGame,Load Game,,Tải Game
GAMEPLAY_LoadingProgress,Loading...,,Đang tải...
GAMEPLAY_LoadTextDefault,"A mysterious geomagnetic storm has brought your plane crashing down into the Northern Canadian wilderness. 

How long can you survive?",,
GAMEPLAY_LockedPostfix,(Locked),,(Đã khóa)
GAMEPLAY_Locker,Locker,,
GAMEPLAY_Log,Log,,
GAMEPLAY_Logbook,Log,,
GAMEPLAY_LoggingCamp,Logging Camp,,
GAMEPLAY_Logs,Logs,,
GAMEPLAY_LogSort,Log Sort,,
GAMEPLAY_LoneLakeCabin,Lone Lake Cabin,,
GAMEPLAY_Lookout,Lookout,,
GAMEPLAY_Low,Low,,
GAMEPLAY_Madeittoday,Made it to day,,
GAMEPLAY_MagnifyingLens,Magnifying Lens,,
GAMEPLAY_MagnifyingLensDescription,A magnifying lens that can be used to start a fire during daylight.,,
GAMEPLAY_Magnifyinglensrequiresdirectsunlight,Magnifying lens requires direct sunlight,,
GAMEPLAY_Mailbox,Mailbox,,
GAMEPLAY_Map,Map,,Bản đồ
GAMEPLAY_MapNotAvailable,"(Not Available In Alpha)

A simple map that shows obvious known landmarks. 
It will be updated with Knowledge as you 
explore the world.",,
GAMEPLAY_MarinersPeaCoat,Mariner's Pea Coat,,
GAMEPLAY_MarinersPeaCoatDescription,"Heavy wool coat, of the sort traditionally worn by sailors and fishermen.",,
GAMEPLAY_Match,Match,,
GAMEPLAY_Matches,Matches,,
GAMEPLAY_MaxsLastStand,Max's Last Stand,,
GAMEPLAY_Meat,Meat,,
GAMEPLAY_MedicineShelf,Medicine Shelf,,
GAMEPLAY_Medium,Medium,,
GAMEPLAY_MedKit,Med Kit,,
GAMEPLAY_MedKitDescription,,,
GAMEPLAY_Melt,Melt,,
GAMEPLAY_MeltingProgress,Melting Snow...,,
GAMEPLAY_MeltSnow,Melt snow,,
GAMEPLAY_MerlesKnowledge,Merle's Gas N Go,,
GAMEPLAY_MerlesKnowledgeDescription,Food and possibly medical supplies.,,
GAMEPLAY_MetalContainer,Metal Container,,
GAMEPLAY_Metric,Metric,,Mét
GAMEPLAY_Microwave,Microwave,,Lò vi sóng
GAMEPLAY_miles,miles,,dặm
GAMEPLAY_MilitaryGradeMRE,Military-Grade MRE,,
GAMEPLAY_MilitaryGradeMREDescription,"Contemporary MRE, good quality, and meets all technical requirements to be considered real food! Designed to keep a soldier on their feet.",,
GAMEPLAY_minute,minute,,phút
GAMEPLAY_minutes,minutes,,phút
GAMEPLAY_minutesShortForm,m,,m
GAMEPLAY_MisanthropesHomestead,Misanthrope's Homestead,,
GAMEPLAY_Mittens,Mittens,,
GAMEPLAY_MittensDescription,"Light mittens, barely windproof. Warmer than gloves and better than nothing.",,
GAMEPLAY_Morning,Morning,,
GAMEPLAY_MostlyCloudy,Mostly Cloudy,,
GAMEPLAY_MouseSensitivity,Mouse Sensitivity,,
GAMEPLAY_MPHUnits,MPH,,MPH
GAMEPLAY_Music,Music,,
GAMEPLAY_MysteryLake,Mystery Lake,,
GAMEPLAY_MysteryLakeWesternAccess,Mystery Lake (Western Access),,
GAMEPLAY_NeverDieDisabled,Never Die Disabled,,
GAMEPLAY_NeverDieEnabled,Never Die Enabled,,
GAMEPLAY_NewSandbox,New Sandbox,,
GAMEPLAY_Newsprint,Newsprint,,
GAMEPLAY_NewsprintDescription,Newsprint. Can be used as tinder.,,
GAMEPLAY_NewsprintRoll,Newsprint Roll,,
GAMEPLAY_NewsprintRollDescription,Newsprint Roll. Can be used as tinder.,,
GAMEPLAY_NextDay,Next Day,,
GAMEPLAY_Night,Night,,
GAMEPLAY_NoAfflictions,No Afflictions,,
GAMEPLAY_NoBedrollininventory,No Bedroll in inventory,,
GAMEPLAY_Nodecoysininventory,No decoys in inventory,,
GAMEPLAY_Nofirearmsininventory,No weapons in inventory,,
GAMEPLAY_NoFishingGear,Fishing Tackle is required for Ice Fishing.,,
GAMEPLAY_Noflaresininventory,No flares or torches in inventory,,
GAMEPLAY_Nofuelinlantern,No fuel in lantern,,
GAMEPLAY_NoKeroseneavailable,No Lamp Oil available,,
GAMEPLAY_Nolampsininventory,No lamps in inventory,,
GAMEPLAY_Nomorereclaimedwoodcanbeforaged,No more reclaimed wood can be foraged,,
GAMEPLAY_Nomoretindercanbeforaged,No more tinder can be foraged,,
GAMEPLAY_None,None,,không
GAMEPLAY_NonPotableWaterSource,Non Potable Water Source,,
GAMEPLAY_NonPotableWaterSupply,Non Potable Water Supply,,
GAMEPLAY_Noobjectselectedforharvest,No object selected for harvest,,
GAMEPLAY_Noobjectselectedforrepair,No object selected for repair,,
GAMEPLAY_Normal,Normal,,
GAMEPLAY_North,North,,
GAMEPLAY_NorthEast,North East,,
GAMEPLAY_NorthWest,North West,,
GAMEPLAY_Nosavetoload,No save to load,,
GAMEPLAY_Notcarryinganywaterthatneedspurification,Not carrying any water that needs purification,,
GAMEPLAY_NotDehydrated,Not Dehydrated,,
GAMEPLAY_NotEncumbered,Not Encumbered,,
GAMEPLAY_NotExhausted,Not Exhausted,,
GAMEPLAY_NotFreezing,Not Freezing,,
GAMEPLAY_Nothingselectedforcrafting,Nothing selected for crafting,,
GAMEPLAY_Nothingtoharvest,Nothing to harvest,,
GAMEPLAY_NotStarving,Not Starving,,
GAMEPLAY_Nounsafewaterininventory,No unsafe water in inventory,,
GAMEPLAY_Nousablefuelsourceforfireininventory,No usable fuel source for fire in inventory,,
GAMEPLAY_Nousabletindertostartfireinventory,No usable tinder to start fire inventory,,
GAMEPLAY_Nousabletooltostartfireininventory,No usable tool to start fire in inventory,,
GAMEPLAY_Nowatertodrop,No water to drop,,
GAMEPLAY_Nowatertotake,No water to take,,
GAMEPLAY_Nowatertotransfer,No water to transfer,,
GAMEPLAY_NumAddedInventory,{item-name} ({num-value}) added to inventory,,
GAMEPLAY_NumRoundsReturned,{num-value} rounds returned to inventory,,
GAMEPLAY_of,of,"as in ""1 of 3""",
GAMEPLAY_Off,Off,,
GAMEPLAY_OldManDavisKnowledge,Old Man Davis,,
GAMEPLAY_OldManDavisKnowledgeDescription,"Armed and paranoid, but a good man.",,
GAMEPLAY_OldMansBeard,Old Man's Beard Lichen,,
GAMEPLAY_OldMansBeardDescription,A lichen found in the ancient forests of the Pacific Northwest.,,
GAMEPLAY_OldMansBeardDressing,Old Man's Beard Wound Dressing,,
GAMEPLAY_OldMansBeardDressingDescription,A dressing utilizing Old Man's Beard lichen. Apply to wounds to help prevent infection.,,
GAMEPLAY_On,On,,
GAMEPLAY_Open,Open,,Mở
GAMEPLAY_OpenCan,Open Can,,
GAMEPLAY_OpenedPostfix,(Opened),,(Đã mở)
GAMEPLAY_OpeningProgress,Opening...,,Đang mở...
GAMEPLAY_Options,Options,,Tùy chọn
GAMEPLAY_Or,Or,,
GAMEPLAY_OrangeSoda,Orange Soda,,
GAMEPLAY_OrangeSodaDescription,Sweet carbonated drink. Full of high-fructose corn syrup.,,
GAMEPLAY_Oven,Oven,,
GAMEPLAY_Overloaded,Overloaded,,
GAMEPLAY_ozUnits,oz,,
GAMEPLAY_Painkillers,Painkillers,,
GAMEPLAY_PainkillersDescription,A bottle of Painkillers. Take it to reduce pain from injuries.,,
GAMEPLAY_Paper,Paper,,
GAMEPLAY_Papers,Papers,,
GAMEPLAY_PartlyCloudy,Partly Cloudy,,
GAMEPLAY_Paused,Paused,,
GAMEPLAY_PauseMenu,Pause Menu,,
GAMEPLAY_PeanutButter,Peanut Butter,,
GAMEPLAY_PeanutButterDescription,Jar of creamy peanut butter. Good source of energy.,,
GAMEPLAY_Pelt,Fresh Rabbit Pelt,,
GAMEPLAY_PeltDescription,Freshly harvested rabbit pelt.,,
GAMEPLAY_Pelts,Pelts,,
GAMEPLAY_PickUp,Pick Up,,
GAMEPLAY_Piece,Piece,,
GAMEPLAY_Pieces,Pieces,,
GAMEPLAY_Pilgrim,Pilgrim,,
GAMEPLAY_Pill,Pill,,
GAMEPLAY_Pills,Pills,,
GAMEPLAY_PinnaclePeaches,Pinnacle Peaches,,
GAMEPLAY_PinnaclePeachesDescription,"High quality peaches, halved.",,
GAMEPLAY_Place,Place,,
GAMEPLAY_PlasticContainer,Plastic Container,,
GAMEPLAY_PlayerHealthPercent,Condition,,
GAMEPLAY_PM,PM,,
GAMEPLAY_PorkandBeans,Pork and Beans,,
GAMEPLAY_PorkandBeansDescription,"Beans in molasses, with bits of what looks like pork.",,
GAMEPLAY_potable,potable,,
GAMEPLAY_PotableWaterSource,Potable Water Source,,
GAMEPLAY_PotableWaterSupply,Potable Water Supply,,
GAMEPLAY_PotBellyStove,Pot Belly Stove,,
GAMEPLAY_PremiumWinterCoat,Premium Winter Coat,,
GAMEPLAY_PremiumWinterCoatDescription,Very high quality winter coat made of the finest materials. Highly wind resistant with a down fill. Made for pros.,,
GAMEPLAY_PrepareFood,Prepare food,,
GAMEPLAY_PressAnyKeyToContinue,Press Any Key To Continue,,Nhấn phím bất kỳ để tiếp tục
GAMEPLAY_PrevDay,Prev Day,,
GAMEPLAY_Prybar,Prybar,,
GAMEPLAY_PrybarDescription,A beat up prybar. Useful for opening locked containers.,,
GAMEPLAY_PurifyingWater,Purifying Water...,,
GAMEPLAY_PutBack,Put Back,,
GAMEPLAY_Quality,Quality,,
GAMEPLAY_QualityTools,Quality Tools,,
GAMEPLAY_QualityToolsDescription,Good quality tools for crafting and repair.,,
GAMEPLAY_QuantityFuelReturned,{quant-value} fuel returned to inventory,,
GAMEPLAY_Quit,Quit,,Thoát
GAMEPLAY_QuitToMenu,Quit To Menu,,Thoát tới Menu
GAMEPLAY_QuoteAtwood,"""What am I living for and what am I dying for are the same question.""  

- Margaret Atwood",,
GAMEPLAY_QuoteDarwin,"""It is not the strongest of the species that survives, nor the most intelligent that survives. It is the one that is the most adaptable to change.""

- Charles Darwin",,
GAMEPLAY_QuoteDavies,"“Extraordinary people survive under the most terrible circumstances and they become more extraordinary because of it.” 

- Robertson Davies",,
GAMEPLAY_QuoteGolding,"“He knelt among the shadows and felt his isolation bitterly. They were savages it was true; but they were human.” 

- William Golding, Lord of the Flies",,
GAMEPLAY_QuoteHeller,"“He is at home with his solitude as the note reverberating inside a bell.” 

- Peter Heller, The Dog Stars",,
GAMEPLAY_QuoteKing,"""No one can tell what goes on between the person you were and the person you become. No one can chart that blue and lonely section of hell. There are no maps of the change. You just come out the other side."" 

- Stephen King, The Stand",,
GAMEPLAY_QuoteMamet,"“You know, I once read an interesting book which said that, uh, most people lost in the wilds, they, they die of shame. Yeah, see, they die of shame. 'What did I do wrong? How could I have gotten myself into this?' And so they sit there and they... die. Because they didn't do the one thing that would save their lives. Thinking.” 

- David Mamet, The Edge",,
GAMEPLAY_QuoteMatheson,"“The foraging for food and water, the struggle for life in a world without masters, housed in a body that man had made dependent on himself.” 

- Richard Matheson, I Am Legend",,
GAMEPLAY_QuoteMcCarthy,"“No lists of things to be done. The day providential to itself. The hour. There is no later. This is later. All things of grace and beauty such that one holds them to one's heart have a common provenance in pain. Their birth in grief and ashes.” 

- Cormac McCarthy, The Road",,
GAMEPLAY_QuotePalahniuk,"""On a long enough time line, the survival rate for everyone drops to zero.""

- Chuck Palahniuk",,
GAMEPLAY_QuoteSagan,"“Extinction is the rule. Survival is the exception.” 

- Carl Sagan",,
GAMEPLAY_QuoteSalk,"“Life is an error-making and an error-correcting process, and nature in marking man's papers will grade him for wisdom as measured both by survival and by the quality of life of those who survive.”

- Jonas Salk",,
GAMEPLAY_QuoteSeneca,"""Sometimes even to live is an act of courage.""

- Seneca",,
GAMEPLAY_QuoteThoreau,"""I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived. I did not wish to live what was not life, living is so dear; nor did I wish to practise resignation, unless it was quite necessary. I wanted to live deep and suck out all the marrow of life, to live so sturdily and Spartan-like as to put to rout all that was not life, to cut a broad swath and shave close, to drive life into a corner, and reduce it to its lowest terms."" 

- Henry David Thoreau, Walden",,
GAMEPLAY_QuoteVonnegut,"“It is hard to adapt to chaos, but it can be done. I am living proof of that: It can be done” 

- Kurt Vonnegut, Breakfast of Champions",,
GAMEPLAY_RabbitCooked,Rabbit (Cooked),,
GAMEPLAY_RabbitCookedDescription,Cooked flesh from a rabbit.,,
GAMEPLAY_RabbitGrove,Rabbit Grove,,
GAMEPLAY_RabbitRaw,Rabbit  (Raw),,
GAMEPLAY_RabbitRawDescription,Flesh from a rabbit. Cook to eat safely.,,
GAMEPLAY_RabbitSkinMitts,Rabbitskin Mitts,,
GAMEPLAY_RabbitSkinMittsDescription,"Handcrafted mittens. Clumsy, but very warm.",,
GAMEPLAY_Radio,Radio,,
GAMEPLAY_RavagedPrefix,Ravaged,,
GAMEPLAY_RawCohoSalmon,Coho Salmon (Raw),,
GAMEPLAY_RawCohoSalmonDescription,A formidable West Coast fish. Grows to a good size.,,
GAMEPLAY_RawLakeWhiteFish,Lake Whitefish (Raw),,
GAMEPLAY_RawLakeWhiteFishDescription,"A common freshwater fish. Small, but plentiful.",,
GAMEPLAY_RawRainbowTrout,Rainbow Trout (Raw),,
GAMEPLAY_RawRainbowTroutDescription,"A small saltwater fish, named for its iridescence.",,
GAMEPLAY_RawSmallMouthBass,Smallmouth Bass (Raw),,
GAMEPLAY_RawSmallMouthBassDescription,A hefty sized freshwater fish. Intolerant of polluted waters.,,
GAMEPLAY_ReclaimedWood,Reclaimed Wood,,
GAMEPLAY_ReclaimedWoodDescription,"Reclaimed wood (from broken furniture, wooden structures, etc.)",,
GAMEPLAY_RecoveredFromBloodLoss,Recovered From Blood Loss,,
GAMEPLAY_Refuel,Refuel,,
GAMEPLAY_RefuelingProgress,Refueling...,,
GAMEPLAY_Region,Region,,
GAMEPLAY_Register,Register,,
GAMEPLAY_ReishiMushroom,Reishi Mushroom,,
GAMEPLAY_ReishiMushroomDescription,"A large, edible shelf mushroom, found mainly on coniferous trees.",,
GAMEPLAY_ReishiTea,Reishi Tea,,
GAMEPLAY_ReishiTeaDescription,Reishi Mushroom tea boosts the immune system and demonstrates antibiotic-like behaviour.,,
GAMEPLAY_Reload,Reload,,
GAMEPLAY_Remedy,Remedy,,
GAMEPLAY_Repair,Repair,,Sửa
GAMEPLAY_RepairAmount,Repair Amount,,
GAMEPLAY_RepairingProgress,Repairing...,,Đang sửa
GAMEPLAY_RepairSkill,Repair Skill,,
GAMEPLAY_RepairSkillIncreased,Repair skill increased to {%-value},,
GAMEPLAY_RequiredMaterials,Required Materials,,
GAMEPLAY_RequiredMaterialsHeader,Required Materials,,
GAMEPLAY_RequiresTool,(requires tool),,(yêu cầu công cụ)
GAMEPLAY_Requirestooltoforceopen,Requires tool to force open,,
GAMEPLAY_ResetToDefaults,Reset to Defaults,,
GAMEPLAY_Resolution,Resolution,,
GAMEPLAY_Rest,Rest,,
GAMEPLAY_Rested,Rested,,
GAMEPLAY_RestingProgress,Resting...,,
GAMEPLAY_RestRemaining,Rest Remaining,,
GAMEPLAY_Revolver,Revolver,,
GAMEPLAY_RevolverDescription,,,
GAMEPLAY_RifleAmmunition,Rifle Ammunition,,
GAMEPLAY_RifleAmmunitionDescription,A box of rifle cartridges.,,
GAMEPLAY_RifleRound,Rifle Cartridge,,
GAMEPLAY_RifleRoundDescription,A single .303 rifle cartridge.,,
GAMEPLAY_Right,Right,,
GAMEPLAY_RimGrill,Rim Grill,,
GAMEPLAY_RiverNorthernAccess,River (Northern Access),,
GAMEPLAY_RiverSouthernAccess,River (Southern Access),,
GAMEPLAY_Rockfall,Rockfall,,
GAMEPLAY_Roll,Roll,,
GAMEPLAY_Rolls,Rolls,,
GAMEPLAY_RoseHip,Rose Hip,,
GAMEPLAY_RoseHipDescription,The fruit of a wild rose bush.,,
GAMEPLAY_RoseHips,Rose Hips,,
GAMEPLAY_RoseHipTea,Rose Hip Tea,,
GAMEPLAY_RoseHipTeaDescription,"Rose hips have long been used as an anti-inflamatory and this tea makes for an effective, natural pain-killer.",,
GAMEPLAY_Round,Round,,
GAMEPLAY_Rounds,Rounds,,
GAMEPLAY_Ruined,{item-name} ruined.,,
GAMEPLAY_RuinedPostfix,(Ruined),,
GAMEPLAY_Run,Run,,
GAMEPLAY_RunMethod,Run Method,,
GAMEPLAY_RuralBurnedFarmCabins,Lonely Homestead,Two small burned out cabins in the forest.,
GAMEPLAY_RuralBurnedRidgeCave,Burned Ridge Cave,,
GAMEPLAY_RuralBurnedRidgeHomes,Skeeter's Ridge,Skeeter is a name; ridge is the edge of a hill with a steep drop),
GAMEPLAY_RuralCabin,Draft Dodger's Cabin,"a draft dodger is someone who came up to Canada from the US during the Vietnam war, to avoid being conscripted to fight",
GAMEPLAY_RuralCreekBridge1,Heartbreak Bridge,a bridge for cars,
GAMEPLAY_RuralCreekBridge2,Contemplation Bridge,a bridge for cars,
GAMEPLAY_RuralDerelictFarm,Three Strikes Farmstead,Abandoned cabins; Three Strikes is a baseball reference (three strikes and you are out),
GAMEPLAY_RuralFarm,Pleasant Valley Farmstead,Farmhouse and orchard,
GAMEPLAY_RuralFarmBarns,Pleasant Valley Outbuildings,"Farm buildings (barn, silo, hay shelters, etc.)",
GAMEPLAY_RuralFishingPond,Pensive Pond,an icy pond; pensive refers to a place to stop and think,
GAMEPLAY_RuralForestCave,Forest Cave,,
GAMEPLAY_RuralForestPicnic,Picnic Spot,,
GAMEPLAY_RuralHillTopCave,Hilltop Cave,a simple cave near the top of a hill,
